,index,path,angle,emotion
304,AF28,kdef/KDEF/AF28/AF28ANS.JPG,4,1
307,AF28,kdef/KDEF/AF28/AF28SUS.JPG,4,6
308,AF28,kdef/KDEF/AF28/AF28DIS.JPG,4,2
312,AF28,kdef/KDEF/AF28/AF28HAS.JPG,4,3
319,AF10,kdef/KDEF/AF10/AF10DIS.JPG,4,2
324,AF10,kdef/KDEF/AF10/AF10AFS.JPG,4,0
327,AF10,kdef/KDEF/AF10/AF10HAS.JPG,4,3
328,AF10,kdef/KDEF/AF10/AF10SUS.JPG,4,6
340,AF10,kdef/KDEF/AF10/AF10SAS.JPG,4,5
347,AF10,kdef/KDEF/AF10/AF10ANS.JPG,4,1
354,BF35,kdef/KDEF/BF35/BF35AFS.JPG,4,0
357,BF35,kdef/KDEF/BF35/BF35HAS.JPG,4,3
368,BF35,kdef/KDEF/BF35/BF35SUS.JPG,4,6
375,BF35,kdef/KDEF/BF35/BF35SAS.JPG,4,5
378,BF35,kdef/KDEF/BF35/BF35DIS.JPG,4,2
382,BF35,kdef/KDEF/BF35/BF35ANS.JPG,4,1
396,BF17,kdef/KDEF/BF17/BF17AFS.JPG,4,0
400,BF17,kdef/KDEF/BF17/BF17ANS.JPG,4,1
404,BF17,kdef/KDEF/BF17/BF17SAS.JPG,4,5
405,BF17,kdef/KDEF/BF17/BF17DIS.JPG,4,2
409,BF17,kdef/KDEF/BF17/BF17HAS.JPG,4,3
410,BF17,kdef/KDEF/BF17/BF17SUS.JPG,4,6
421,BF14,kdef/KDEF/BF14/BF14DIS.JPG,4,2
426,BF14,kdef/KDEF/BF14/BF14SAS.JPG,4,5
436,BF14,kdef/KDEF/BF14/BF14HAS.JPG,4,3
437,BF14,kdef/KDEF/BF14/BF14ANS.JPG,4,1
452,BF14,kdef/KDEF/BF14/BF14SUS.JPG,4,6
453,BF14,kdef/KDEF/BF14/BF14AFS.JPG,4,0
459,BM10,kdef/KDEF/BM10/BM10SAS.JPG,4,5
472,BM10,kdef/KDEF/BM10/BM10DIS.JPG,4,2
473,BM10,kdef/KDEF/BM10/BM10HAS.JPG,4,3
481,BM10,kdef/KDEF/BM10/BM10AFS.JPG,4,0
486,BM10,kdef/KDEF/BM10/BM10SUS.JPG,4,6
489,BM10,kdef/KDEF/BM10/BM10ANS.JPG,4,1
499,AF04,kdef/KDEF/AF04/AF04HAS.JPG,4,3
502,AF04,kdef/KDEF/AF04/AF04DIS.JPG,4,2
503,AF04,kdef/KDEF/AF04/AF04SUS.JPG,4,6
513,AF04,kdef/KDEF/AF04/AF04AFS.JPG,4,0
517,AF04,kdef/KDEF/AF04/AF04SAS.JPG,4,5
522,AF04,kdef/KDEF/AF04/AF04ANS.JPG,4,1
525,AF29,kdef/KDEF/AF29/AF29HAS.JPG,4,3
534,AF29,kdef/KDEF/AF29/AF29SAS.JPG,4,5
535,AF29,kdef/KDEF/AF29/AF29AFS.JPG,4,0
549,AF29,kdef/KDEF/AF29/AF29DIS.JPG,4,2
555,AF29,kdef/KDEF/AF29/AF29SUS.JPG,4,6
559,AF29,kdef/KDEF/AF29/AF29ANS.JPG,4,1
561,BF01,kdef/KDEF/BF01/BF01HAS.JPG,4,3
568,BF01,kdef/KDEF/BF01/BF01DIS.JPG,4,2
583,BF01,kdef/KDEF/BF01/BF01ANS.JPG,4,1
588,BF01,kdef/KDEF/BF01/BF01SUS.JPG,4,6
589,BF01,kdef/KDEF/BF01/BF01SAS.JPG,4,5
592,BF01,kdef/KDEF/BF01/BF01AFS.JPG,4,0
598,BF32,kdef/KDEF/BF32/BF32HAS.JPG,4,3
600,BF32,kdef/KDEF/BF32/BF32SAS.JPG,4,5
604,BF32,kdef/KDEF/BF32/BF32DIS.JPG,4,2
605,BF32,kdef/KDEF/BF32/BF32ANS.JPG,4,1
610,BF32,kdef/KDEF/BF32/BF32AFS.JPG,4,0
611,BF32,kdef/KDEF/BF32/BF32SUS.JPG,4,6
642,AM13,kdef/KDEF/AM13/AM13HAS.JPG,4,3
644,AM13,kdef/KDEF/AM13/AM13AFS.JPG,4,0
646,AM13,kdef/KDEF/AM13/AM13DIS.JPG,4,2
660,AM13,kdef/KDEF/AM13/AM13ANS.JPG,4,1
662,AM13,kdef/KDEF/AM13/AM13SAS.JPG,4,5
664,AM13,kdef/KDEF/AM13/AM13SUS.JPG,4,6
667,BM17,kdef/KDEF/BM17/BM17SUS.JPG,4,6
670,BM17,kdef/KDEF/BM17/BM17AFS.JPG,4,0
674,BM17,kdef/KDEF/BM17/BM17DIS.JPG,4,2
695,BM17,kdef/KDEF/BM17/BM17SAS.JPG,4,5
696,BM17,kdef/KDEF/BM17/BM17ANS.JPG,4,1
698,BM17,kdef/KDEF/BM17/BM17HAS.JPG,4,3
708,BM24,kdef/KDEF/BM24/BM24SUS.JPG,4,6
711,BM24,kdef/KDEF/BM24/BM24DIS.JPG,4,2
714,BM24,kdef/KDEF/BM24/BM24SAS.JPG,4,5
719,BM24,kdef/KDEF/BM24/BM24AFS.JPG,4,0
725,BM24,kdef/KDEF/BM24/BM24HAS.JPG,4,3
726,BM24,kdef/KDEF/BM24/BM24ANS.JPG,4,1
739,AM09,kdef/KDEF/AM09/AM09HAS.JPG,4,3
743,AM09,kdef/KDEF/AM09/AM09SAS.JPG,4,5
753,AM09,kdef/KDEF/AM09/AM09ANS.JPG,4,1
757,AM09,kdef/KDEF/AM09/AM09SUS.JPG,4,6
760,AM09,kdef/KDEF/AM09/AM09AFS.JPG,4,0
765,AM09,kdef/KDEF/AM09/AM09DIS.JPG,4,2
784,AF20,kdef/KDEF/AF20/AF20SUS.JPG,4,6
791,AF20,kdef/KDEF/AF20/AF20HAS.JPG,4,3
793,AF20,kdef/KDEF/AF20/AF20SAS.JPG,4,5
794,AF20,kdef/KDEF/AF20/AF20AFS.JPG,4,0
798,AF20,kdef/KDEF/AF20/AF20ANS.JPG,4,1
802,AF20,kdef/KDEF/AF20/AF20DIS.JPG,4,2
805,BM28,kdef/KDEF/BM28/BM28SUS.JPG,4,6
816,BM28,kdef/KDEF/BM28/BM28SAS.JPG,4,5
818,BM28,kdef/KDEF/BM28/BM28ANS.JPG,4,1
824,BM28,kdef/KDEF/BM28/BM28HAS.JPG,4,3
834,BM28,kdef/KDEF/BM28/BM28DIS.JPG,4,2
839,BM28,kdef/KDEF/BM28/BM28AFS.JPG,4,0
844,AF31,kdef/KDEF/AF31/AF31SAS.JPG,4,5
846,AF31,kdef/KDEF/AF31/AF31SUS.JPG,4,6
850,AF31,kdef/KDEF/AF31/AF31ANS.JPG,4,1
863,AF31,kdef/KDEF/AF31/AF31AFS.JPG,4,0
868,AF31,kdef/KDEF/AF31/AF31DIS.JPG,4,2
871,AF31,kdef/KDEF/AF31/AF31HAS.JPG,4,3
876,BF22,kdef/KDEF/BF22/BF22SUS.JPG,4,6
877,BF22,kdef/KDEF/BF22/BF22HAS.JPG,4,3
888,BF22,kdef/KDEF/BF22/BF22AFS.JPG,4,0
889,BF22,kdef/KDEF/BF22/BF22SAS.JPG,4,5
894,BF22,kdef/KDEF/BF22/BF22ANS.JPG,4,1
902,BF22,kdef/KDEF/BF22/BF22DIS.JPG,4,2
910,BF04,kdef/KDEF/BF04/BF04AFS.JPG,4,0
914,BF04,kdef/KDEF/BF04/BF04SAS.JPG,4,5
915,BF04,kdef/KDEF/BF04/BF04DIS.JPG,4,2
925,BF04,kdef/KDEF/BF04/BF04ANS.JPG,4,1
941,BF04,kdef/KDEF/BF04/BF04HAS.JPG,4,3
943,BF04,kdef/KDEF/BF04/BF04SUS.JPG,4,6
955,BF25,kdef/KDEF/BF25/BF25SUS.JPG,4,6
956,BF25,kdef/KDEF/BF25/BF25SAS.JPG,4,5
965,BF25,kdef/KDEF/BF25/BF25HAS.JPG,4,3
966,BF25,kdef/KDEF/BF25/BF25ANS.JPG,4,1
967,BF25,kdef/KDEF/BF25/BF25DIS.JPG,4,2
978,BF25,kdef/KDEF/BF25/BF25AFS.JPG,4,0
982,BF28,kdef/KDEF/BF28/BF28DIS.JPG,4,2
992,BF28,kdef/KDEF/BF28/BF28ANS.JPG,4,1
1007,BF28,kdef/KDEF/BF28/BF28SUS.JPG,4,6
1009,BF28,kdef/KDEF/BF28/BF28AFS.JPG,4,0
1010,BF28,kdef/KDEF/BF28/BF28SAS.JPG,4,5
1012,BF28,kdef/KDEF/BF28/BF28HAS.JPG,4,3
1017,BM08,kdef/KDEF/BM08/BM08SAS.JPG,4,5
1020,BM08,kdef/KDEF/BM08/BM08AFS.JPG,4,0
1029,BM08,kdef/KDEF/BM08/BM08ANS.JPG,4,1
1033,BM08,kdef/KDEF/BM08/BM08HAS.JPG,4,3
1043,BM08,kdef/KDEF/BM08/BM08DIS.JPG,4,2
1045,BM08,kdef/KDEF/BM08/BM08SUS.JPG,4,6
1049,BM29,kdef/KDEF/BM29/BM29ANS.JPG,4,1
1050,BM29,kdef/KDEF/BM29/BM29AFS.JPG,4,0
1052,BM29,kdef/KDEF/BM29/BM29HAS.JPG,4,3
1063,BM29,kdef/KDEF/BM29/BM29SAS.JPG,4,5
1066,BM29,kdef/KDEF/BM29/BM29DIS.JPG,4,2
1077,BM29,kdef/KDEF/BM29/BM29SUS.JPG,4,6
1087,AM17,kdef/KDEF/AM17/AM17AFS.JPG,4,0
1092,AM17,kdef/KDEF/AM17/AM17DIS.JPG,4,2
1096,AM17,kdef/KDEF/AM17/AM17SUS.JPG,4,6
1103,AM17,kdef/KDEF/AM17/AM17ANS.JPG,4,1
1106,AM17,kdef/KDEF/AM17/AM17HAS.JPG,4,3
1112,AM17,kdef/KDEF/AM17/AM17SAS.JPG,4,5
1128,BM06,kdef/KDEF/BM06/BM06HAS.JPG,4,3
1131,BM06,kdef/KDEF/BM06/BM06SUS.JPG,4,6
1140,BM06,kdef/KDEF/BM06/BM06AFS.JPG,4,0
1143,BM06,kdef/KDEF/BM06/BM06SAS.JPG,4,5
1147,BM06,kdef/KDEF/BM06/BM06DIS.JPG,4,2
1150,BM06,kdef/KDEF/BM06/BM06ANS.JPG,4,1
1155,AF12,kdef/KDEF/AF12/AF12AFS.JPG,4,0
1158,AF12,kdef/KDEF/AF12/AF12HAS.JPG,4,3
1161,AF12,kdef/KDEF/AF12/AF12SAS.JPG,4,5
1168,AF12,kdef/KDEF/AF12/AF12DIS.JPG,4,2
1186,AF12,kdef/KDEF/AF12/AF12SUS.JPG,4,6
1187,AF12,kdef/KDEF/AF12/AF12ANS.JPG,4,1
1198,AM31,kdef/KDEF/AM31/AM31SAS.JPG,4,5
1202,AM31,kdef/KDEF/AM31/AM31SUS.JPG,4,6
1204,AM31,kdef/KDEF/AM31/AM31DIS.JPG,4,2
1212,AM31,kdef/KDEF/AM31/AM31AFS.JPG,4,0
1215,AM31,kdef/KDEF/AM31/AM31ANS.JPG,4,1
1221,AM31,kdef/KDEF/AM31/AM31HAS.JPG,4,3
1233,AM22,kdef/KDEF/AM22/AM22ANS.JPG,4,1
1235,AM22,kdef/KDEF/AM22/AM22AFS.JPG,4,0
1242,AM22,kdef/KDEF/AM22/AM22HAS.JPG,4,3
1245,AM22,kdef/KDEF/AM22/AM22SUS.JPG,4,6
1246,AM22,kdef/KDEF/AM22/AM22SAS.JPG,4,5
1257,AM22,kdef/KDEF/AM22/AM22DIS.JPG,4,2
1260,BF15,kdef/KDEF/BF15/BF15ANS.JPG,4,1
1262,BF15,kdef/KDEF/BF15/BF15AFS.JPG,4,0
1272,BF15,kdef/KDEF/BF15/BF15SUS.JPG,4,6
1276,BF15,kdef/KDEF/BF15/BF15DIS.JPG,4,2
1284,BF15,kdef/KDEF/BF15/BF15SAS.JPG,4,5
1287,BF15,kdef/KDEF/BF15/BF15HAS.JPG,4,3
1293,BM16,kdef/KDEF/BM16/BM16ANS.JPG,4,1
1306,BM16,kdef/KDEF/BM16/BM16SUS.JPG,4,6
1315,BM16,kdef/KDEF/BM16/BM16SAS.JPG,4,5
1316,BM16,kdef/KDEF/BM16/BM16HAS.JPG,4,3
1321,BM16,kdef/KDEF/BM16/BM16DIS.JPG,4,2
1324,BM16,kdef/KDEF/BM16/BM16AFS.JPG,4,0
1329,BM12,kdef/KDEF/BM12/BM12ANS.JPG,4,1
1337,BM12,kdef/KDEF/BM12/BM12SAS.JPG,4,5
1339,BM12,kdef/KDEF/BM12/BM12AFS.JPG,4,0
1343,BM12,kdef/KDEF/BM12/BM12HAS.JPG,4,3
1346,BM12,kdef/KDEF/BM12/BM12SUS.JPG,4,6
1361,BM12,kdef/KDEF/BM12/BM12DIS.JPG,4,2
1364,AF27,kdef/KDEF/AF27/AF27HAS.JPG,4,3
1373,AF27,kdef/KDEF/AF27/AF27ANS.JPG,4,1
1379,AF27,kdef/KDEF/AF27/AF27SAS.JPG,4,5
1393,AF27,kdef/KDEF/AF27/AF27AFS.JPG,4,0
1394,AF27,kdef/KDEF/AF27/AF27SUS.JPG,4,6
1395,AF27,kdef/KDEF/AF27/AF27DIS.JPG,4,2
1402,AF35,kdef/KDEF/AF35/AF35SAS.JPG,4,5
1411,AF35,kdef/KDEF/AF35/AF35SUS.JPG,4,6
1419,AF35,kdef/KDEF/AF35/AF35ANS.JPG,4,1
1423,AF35,kdef/KDEF/AF35/AF35HAS.JPG,4,3
1427,AF35,kdef/KDEF/AF35/AF35DIS.JPG,4,2
1432,AF35,kdef/KDEF/AF35/AF35AFS.JPG,4,0
1441,BF23,kdef/KDEF/BF23/BF23ANS.JPG,4,1
1442,BF23,kdef/KDEF/BF23/BF23AFS.JPG,4,0
1448,BF23,kdef/KDEF/BF23/BF23SAS.JPG,4,5
1451,BF23,kdef/KDEF/BF23/BF23HAS.JPG,4,3
1459,BF23,kdef/KDEF/BF23/BF23DIS.JPG,4,2
1460,BF23,kdef/KDEF/BF23/BF23SUS.JPG,4,6
1470,BM32,kdef/KDEF/BM32/BM32ANS.JPG,4,1
1471,BM32,kdef/KDEF/BM32/BM32SAS.JPG,4,5
1474,BM32,kdef/KDEF/BM32/BM32SUS.JPG,4,6
1477,BM32,kdef/KDEF/BM32/BM32AFS.JPG,4,0
1494,BM32,kdef/KDEF/BM32/BM32HAS.JPG,4,3
1499,BM32,kdef/KDEF/BM32/BM32DIS.JPG,4,2
1505,BM30,kdef/KDEF/BM30/BM30SUS.JPG,4,6
1506,BM30,kdef/KDEF/BM30/BM30DIS.JPG,4,2
1511,BM30,kdef/KDEF/BM30/BM30AFS.JPG,4,0
1516,BM30,kdef/KDEF/BM30/BM30HAS.JPG,4,3
1519,BM30,kdef/KDEF/BM30/BM30ANS.JPG,4,1
1527,BM30,kdef/KDEF/BM30/BM30SAS.JPG,4,5
1542,BM25,kdef/KDEF/BM25/BM25HAS.JPG,4,3
1544,BM25,kdef/KDEF/BM25/BM25DIS.JPG,4,2
1546,BM25,kdef/KDEF/BM25/BM25SAS.JPG,4,5
1549,BM25,kdef/KDEF/BM25/BM25SUS.JPG,4,6
1550,BM25,kdef/KDEF/BM25/BM25AFS.JPG,4,0
1555,BM25,kdef/KDEF/BM25/BM25ANS.JPG,4,1
1590,BF18,kdef/KDEF/BF18/BF18AFS.JPG,4,0
1591,BF18,kdef/KDEF/BF18/BF18HAS.JPG,4,3
1599,BF18,kdef/KDEF/BF18/BF18ANS.JPG,4,1
1600,BF18,kdef/KDEF/BF18/BF18SUS.JPG,4,6
1603,BF18,kdef/KDEF/BF18/BF18SAS.JPG,4,5
1605,BF18,kdef/KDEF/BF18/BF18DIS.JPG,4,2
1619,BF12,kdef/KDEF/BF12/BF12DIS.JPG,4,2
1631,BF12,kdef/KDEF/BF12/BF12ANS.JPG,4,1
1632,BF12,kdef/KDEF/BF12/BF12SAS.JPG,4,5
1637,BF12,kdef/KDEF/BF12/BF12AFS.JPG,4,0
1639,BF12,kdef/KDEF/BF12/BF12SUS.JPG,4,6
1642,BF12,kdef/KDEF/BF12/BF12HAS.JPG,4,3
1643,AM12,kdef/KDEF/AM12/AM12DIS.JPG,4,2
1646,AM12,kdef/KDEF/AM12/AM12SAS.JPG,4,5
1655,AM12,kdef/KDEF/AM12/AM12HAS.JPG,4,3
1658,AM12,kdef/KDEF/AM12/AM12SUS.JPG,4,6
1662,AM12,kdef/KDEF/AM12/AM12ANS.JPG,4,1
1672,AM12,kdef/KDEF/AM12/AM12AFS.JPG,4,0
1679,AM25,kdef/KDEF/AM25/AM25SAS.JPG,4,5
1682,AM25,kdef/KDEF/AM25/AM25HAS.JPG,4,3
1687,AM25,kdef/KDEF/AM25/AM25DIS.JPG,4,2
1694,AM25,kdef/KDEF/AM25/AM25SUS.JPG,4,6
1697,AM25,kdef/KDEF/AM25/AM25ANS.JPG,4,1
1709,AM25,kdef/KDEF/AM25/AM25AFS.JPG,4,0
1714,AF11,kdef/KDEF/AF11/AF11SUS.JPG,4,6
1718,AF11,kdef/KDEF/AF11/AF11ANS.JPG,4,1
1725,AF11,kdef/KDEF/AF11/AF11DIS.JPG,4,2
1743,AF11,kdef/KDEF/AF11/AF11HAS.JPG,4,3
1745,AF11,kdef/KDEF/AF11/AF11AFS.JPG,4,0
1746,AF11,kdef/KDEF/AF11/AF11SAS.JPG,4,5
1750,BM09,kdef/KDEF/BM09/BM09ANS.JPG,4,1
1758,BM09,kdef/KDEF/BM09/BM09HAS.JPG,4,3
1764,BM09,kdef/KDEF/BM09/BM09AFS.JPG,4,0
1768,BM09,kdef/KDEF/BM09/BM09DIS.JPG,4,2
1776,BM09,kdef/KDEF/BM09/BM09SUS.JPG,4,6
1779,BM09,kdef/KDEF/BM09/BM09SAS.JPG,4,5
1790,AF22,kdef/KDEF/AF22/AF22SAS.JPG,4,5
1794,AF22,kdef/KDEF/AF22/AF22SUS.JPG,4,6
1797,AF22,kdef/KDEF/AF22/AF22DIS.JPG,4,2
1799,AF22,kdef/KDEF/AF22/AF22AFS.JPG,4,0
1805,AF22,kdef/KDEF/AF22/AF22ANS.JPG,4,1
1815,AF22,kdef/KDEF/AF22/AF22HAS.JPG,4,3
1828,BM13,kdef/KDEF/BM13/BM13SAS.JPG,4,5
1836,BM13,kdef/KDEF/BM13/BM13HAS.JPG,4,3
1837,BM13,kdef/KDEF/BM13/BM13SUS.JPG,4,6
1847,BM13,kdef/KDEF/BM13/BM13ANS.JPG,4,1
1849,BM13,kdef/KDEF/BM13/BM13AFS.JPG,4,0
1852,BM13,kdef/KDEF/BM13/BM13DIS.JPG,4,2
1855,BF03,kdef/KDEF/BF03/BF03SUS.JPG,4,6
1863,BF03,kdef/KDEF/BF03/BF03DIS.JPG,4,2
1873,BF03,kdef/KDEF/BF03/BF03SAS.JPG,4,5
1879,BF03,kdef/KDEF/BF03/BF03HAS.JPG,4,3
1882,BF03,kdef/KDEF/BF03/BF03AFS.JPG,4,0
1884,BF03,kdef/KDEF/BF03/BF03ANS.JPG,4,1
1891,BM21,kdef/KDEF/BM21/BM21ANS.JPG,4,1
1892,BM21,kdef/KDEF/BM21/BM21SAS.JPG,4,5
1896,BM21,kdef/KDEF/BM21/BM21AFS.JPG,4,0
1900,BM21,kdef/KDEF/BM21/BM21SUS.JPG,4,6
1909,BM21,kdef/KDEF/BM21/BM21DIS.JPG,4,2
1921,BM21,kdef/KDEF/BM21/BM21HAS.JPG,4,3
1927,AF06,kdef/KDEF/AF06/AF06ANS.JPG,4,1
1928,AF06,kdef/KDEF/AF06/AF06SAS.JPG,4,5
1938,AF06,kdef/KDEF/AF06/AF06SUS.JPG,4,6
1940,AF06,kdef/KDEF/AF06/AF06AFS.JPG,4,0
1944,AF06,kdef/KDEF/AF06/AF06DIS.JPG,4,2
1953,AF06,kdef/KDEF/AF06/AF06HAS.JPG,4,3
1970,BM35,kdef/KDEF/BM35/BM35AFS.JPG,4,0
1975,BM35,kdef/KDEF/BM35/BM35HAS.JPG,4,3
1981,BM35,kdef/KDEF/BM35/BM35ANS.JPG,4,1
1986,BM35,kdef/KDEF/BM35/BM35SUS.JPG,4,6
1989,BM35,kdef/KDEF/BM35/BM35DIS.JPG,4,2
1992,BM35,kdef/KDEF/BM35/BM35SAS.JPG,4,5
1995,BM19,kdef/KDEF/BM19/BM19ANS.JPG,4,1
1998,BM19,kdef/KDEF/BM19/BM19HAS.JPG,4,3
2002,BM19,kdef/KDEF/BM19/BM19AFS.JPG,4,0
2020,BM19,kdef/KDEF/BM19/BM19SAS.JPG,4,5
2025,BM19,kdef/KDEF/BM19/BM19SUS.JPG,4,6
2026,BM19,kdef/KDEF/BM19/BM19DIS.JPG,4,2
2029,BM22,kdef/KDEF/BM22/BM22HAS.JPG,4,3
2033,BM22,kdef/KDEF/BM22/BM22SUS.JPG,4,6
2038,BM22,kdef/KDEF/BM22/BM22AFS.JPG,4,0
2040,BM22,kdef/KDEF/BM22/BM22ANS.JPG,4,1
2050,BM22,kdef/KDEF/BM22/BM22SAS.JPG,4,5
2057,BM22,kdef/KDEF/BM22/BM22DIS.JPG,4,2
2063,AF34,kdef/KDEF/AF34/AF34HAS.JPG,4,3
2069,AF34,kdef/KDEF/AF34/AF34SAS.JPG,4,5
2071,AF34,kdef/KDEF/AF34/AF34DIS.JPG,4,2
2076,AF34,kdef/KDEF/AF34/AF34ANS.JPG,4,1
2080,AF34,kdef/KDEF/AF34/AF34AFS.JPG,4,0
2093,AF34,kdef/KDEF/AF34/AF34SUS.JPG,4,6
2098,BM07,kdef/KDEF/BM07/BM07SUS.JPG,4,6
2104,BM07,kdef/KDEF/BM07/BM07HAS.JPG,4,3
2112,BM07,kdef/KDEF/BM07/BM07SAS.JPG,4,5
2117,BM07,kdef/KDEF/BM07/BM07DIS.JPG,4,2
2123,BM07,kdef/KDEF/BM07/BM07AFS.JPG,4,0
2129,BM07,kdef/KDEF/BM07/BM07ANS.JPG,4,1
2150,BF02,kdef/KDEF/BF02/BF02AFS.JPG,4,0
2152,BF02,kdef/KDEF/BF02/BF02SUS.JPG,4,6
2156,BF02,kdef/KDEF/BF02/BF02ANS.JPG,4,1
2162,BF02,kdef/KDEF/BF02/BF02SAS.JPG,4,5
2163,BF02,kdef/KDEF/BF02/BF02HAS.JPG,4,3
2164,BF02,kdef/KDEF/BF02/BF02DIS.JPG,4,2
2174,BF09,kdef/KDEF/BF09/BF09DIS.JPG,4,2
2176,BF09,kdef/KDEF/BF09/BF09HAS.JPG,4,3
2181,BF09,kdef/KDEF/BF09/BF09SUS.JPG,4,6
2188,BF09,kdef/KDEF/BF09/BF09ANS.JPG,4,1
2196,BF09,kdef/KDEF/BF09/BF09AFS.JPG,4,0
2202,BF09,kdef/KDEF/BF09/BF09SAS.JPG,4,5
2218,AM30,kdef/KDEF/AM30/AM30HAS.JPG,4,3
2220,AM30,kdef/KDEF/AM30/AM30SUS.JPG,4,6
2224,AM30,kdef/KDEF/AM30/AM30SAS.JPG,4,5
2227,AM30,kdef/KDEF/AM30/AM30AFS.JPG,4,0
2231,AM30,kdef/KDEF/AM30/AM30ANS.JPG,4,1
2232,AM30,kdef/KDEF/AM30/AM30DIS.JPG,4,2
2242,BM01,kdef/KDEF/BM01/BM01DIS.JPG,4,2
2244,BM01,kdef/KDEF/BM01/BM01ANS.JPG,4,1
2246,BM01,kdef/KDEF/BM01/BM01SAS.JPG,4,5
2252,BM01,kdef/KDEF/BM01/BM01AFS.JPG,4,0
2260,BM01,kdef/KDEF/BM01/BM01HAS.JPG,4,3
2269,BM01,kdef/KDEF/BM01/BM01SUS.JPG,4,6
2278,AF08,kdef/KDEF/AF08/AF08DIS.JPG,4,2
2288,AF08,kdef/KDEF/AF08/AF08AFS.JPG,4,0
2290,AF08,kdef/KDEF/AF08/AF08SAS.JPG,4,5
2297,AF08,kdef/KDEF/AF08/AF08HAS.JPG,4,3
2299,AF08,kdef/KDEF/AF08/AF08SUS.JPG,4,6
2307,AF08,kdef/KDEF/AF08/AF08ANS.JPG,4,1
2311,BM18,kdef/KDEF/BM18/BM18AFS.JPG,4,0
2319,BM18,kdef/KDEF/BM18/BM18HAS.JPG,4,3
2334,BM18,kdef/KDEF/BM18/BM18DIS.JPG,4,2
2337,BM18,kdef/KDEF/BM18/BM18SUS.JPG,4,6
2339,BM18,kdef/KDEF/BM18/BM18SAS.JPG,4,5
2342,BM18,kdef/KDEF/BM18/BM18ANS.JPG,4,1
2344,AF19,kdef/KDEF/AF19/AF19DIS.JPG,4,2
2353,AF19,kdef/KDEF/AF19/AF19HAS.JPG,4,3
